"sic","sicDescription","count"
"3790","Miscellaneous Transportation Equipment","27"
"3537","Industrial Trucks, Tractors, Trailors & Stackers","27"
"3420","Cutlery, Handtools & General Hardware","27"
"5051","Wholesale-Metals Service Centers & of fices","27"
"6532","Real Estate Dealers (For Their Own Account)","27"
"3911","Jewelry, Precious Metal","27"
"4950","Sanitary Services","27"
"5180","Wholesale-Beer, Wine & Distilled Alcoholic Beverages","27"
"3564","Industrial & Commercial Fans & Blowers & Air Purifing Equip","26"
"5211","Retail-Lumber & Other Building Materials Dealers","26"
"5130","Wholesale-Apparel, Piece Goods & Notions","26"
"3678","Electronic Connectors","25"
"3081","Unsupported Plastics Film & Sheet","25"
"2673","Plastics, Foil & Coated Paper Bags","25"
"5735","Retail-Record & Prerecorded Tape Stores","25"
"5171","Wholesale-Petroleum Bulk Stations & Terminals","25"
"3550","Special Industry Machinery (No Metalworking Machinery)","25"
"3743","Railroad Equipment","24"
"1623","Water, Sewer, Pipeline, Comm & Power Line Construction","24"
"5063","Wholesale-Electrical Apparatus & Equipment, Wiring Supplies","24"
"3579","Office Machines, NEC","24"
"5099","Wholesale-Durable Goods, NEC","24"
"8744","Services-Facilities Support Management Services","24"
"3330","Primary Smelting & Refining of  Nonferrous Metals","23"
"5094","Wholesale-Jewelry, Watches, Precious Stones & Metals","23"
"2590","Miscellaneous Furniture & Fixtures","23"
"3470","Coating, Engraving & Allied Services","23"
"8900","Services-Services, NEC","23"
"2340","Women's, Misses':  Children's & Infants' Undergarments","23"
"2452","Prefabricated Wood Bldgs & Components","23"
"5651","Retail-Family Clothing Stores","22"
"3411","Metal Cans","22"
"2011","Meat Packing Plants","22"
"2631","Paperboard Mills","22"
"3360","Nonferrous Foundries (Castings)","22"
"3821","Laboratory Apparatus & Furniture","22"
"2033","Canned, Fruits, Veg, Preserves, Jams & Jellies","22"
"3480","Ordnance & Accessories, (No Vehicles/Guided Missiles)","21"
"6795","Mineral Royalty Traders","21"
"3272","Concrete Products, Except Block & Brick","21"
"5712","Retail-Furniture Stores","21"
"4581","Airports, Flying Fields & Airport Terminal Services","21"
"7600","Services-Miscellaneous Repair Services","21"
"7841","Services-Video Tape Rental","21"
"6399","Insurance Carriers, NEC","21"
"3578","Calculating & Accounting Machines (No Electronic Computers)","20"
"7331","Services-Direct Mail Advertising Services","20"
"4513","Air Courier Services","20"
"3357","Drawing & Insulating of  Nonferrous Wire","20"
"7330","Services-Mailing, Reproduction, Commercial Art & Photography","20"
"2100","Tobacco Products","20"
"3630","Household Appliances","20"
"3720","Aircraft & Parts","20"
"5734","Retail-Computer & Computer Software Stores","20"
"3844","X-Ray Apparatus & Tubes & Related Irradiation Apparatus","19"
"2451","Mobile Homes","19"
"3760","Guided Missiles & Space Vehicles & Parts","19"
"5200","Retail-Building Materials, Hardware, Garden Supply","19"
"4961","Steam & Air-Conditioning Supply","19"
"2511","Wood Household Furniture, (No Upholstered)","18"
"3220","Glass & Glassware, Pressed or  Blown","18"
"8300","Services-Social Services","18"
"5945","Retail-Hobby, Toy & Game Shops","18"
"3086","Plastics Foam Products","18"
"3600","Electronic & Other Electrical Equipment (No Computer Equip)","18"
"5072","Wholesale-Hardware","17"
"3270","Concrete, Gypsum & Plaster Products","17"
"3555","Printing Trades Machinery & Equipment","17"
"2013","Sausages & Other Prepared Meat Products","17"
"2522","Office Furniture (No Wood)","17"
"6111","Federal & Federally-Sponsored Credit Agencies","17"
"3231","Glass Products, Made of  Purchased Glass","17"
"8351","Services-Child Day Care Services","17"
"5661","Retail-Shoe Stores","17"
"7385","Services-Telephone Interconnect Systems","16"
"3250","Structural Clay Products","16"
"3317","Steel Pipe & Tubes","16"
"5020","Wholesale-Furniture & Home Furnishings","16"
"2253","Knit Outerwear Mills","16"
"5150","Wholesale-Farm Product Raw Materials","15"
"5030","Wholesale-Lumber & Other Construction Materials","15"
"3724","Aircraft Engines & Engine Parts","15"
"3100","Leather & Leather Products","15"
"2024","Ice Cream & Frozen Desserts","15"
"5399","Retail-Misc General Merchandise Stores","14"
"3561","Pumps & Pumping Equipment","14"
"3021","Rubber & Plastics Footwear","14"
"2052","Cookies & Crackers","14"
"2421","Sawmills & Planting Mills, General","14"
"6361","Title Insurance","14"
"3575","Computer Terminals","14"
"5064","Wholesale-Electrical Appliances, Tv & Radio Sets","14"
