"sic","sicDescription","count"
"8351","Services-Child Day Care Services","2"
"2330","Women's, Misses':  and Juniors Outerwear","2"
"3290","Abrasive, Asbestos & Misc Nonmetallic Mineral Prods","2"
"2430","Millwood, Veneer, Plywood, & Structural Wood Members","2"
"2390","Miscellaneous Fabricated Textile Products","2"
"2611","Pulp Mills","2"
"3341","Secondary Smelting & Refining of  Nonferrous Metals","2"
"5400","Retail-Food Stores","2"
"5050","Wholesale-Metals & Minerals (No Petroleum)","2"
"3231","Glass Products, Made of  Purchased Glass","1"
"2761","Manifold Business Forms","1"
"3390","Miscellaneous Primary Metal Products","1"
"3011","Tires & Inner Tubes","1"
"2522","Office Furniture (No Wood)","1"
"3821","Laboratory Apparatus & Furniture","1"
"3541","Machine Tools, Metal Cutting Types","1"
"3942","Dolls & Stuffed Toys","1"
"2520","Office Furniture","1"
"3579","Office Machines, NEC","1"
"2200","Textile Mill Products","1"
"2531","Public Bldg & Related Furniture","1"
"3524","Lawn & Garden Tractors & Home Lawn & Gardens Equip","1"
"3677","Electronic Coils, Transformers & Other Inductors","1"
"2052","Cookies & Crackers","1"
"3221","Glass Containers","1"
"3260","Pottery & Related Products","1"
"2221","Broadwoven Fabric Mills, Man Made Fiber & Silk","1"
"3715","Truck Trailers","1"
"2050","Bakery Products","1"
"5063","Wholesale-Electrical Apparatus & Equipment, Wiring Supplies","1"
"8111","Services-Legal Services","1"
"3050","Gaskets, Packg & Sealg Devices & Rubber & Plastics Hose","1"
"3567","Industrial Process Furnaces & Ovens","1"
"8900","Services-Services, NEC","1"
"4013","Railroad Switching & Terminal Establishments","1"
"2631","Paperboard Mills","1"
"5031","Wholesale-Lumber, Plywood, Millwork & Wood Panels","1"
"3080","Miscellaneous Plastics Products","1"
"3081","Unsupported Plastics Film & Sheet","1"
"3281","Cut Stone & Stone Products","1"
"3211","Flat Glass","1"
"0900","Fishing, Hunting and Trapping","1"
"3086","Plastics Foam Products","1"
"3555","Printing Trades Machinery & Equipment","1"
"7829","Services-Allied To Motion Picture Distribution","1"
"7330","Services-Mailing, Reproduction, Commercial Art & Photography","1"
"2092","Prepared Fresh or  Frozen Fish & Seafoods","1"
"2673","Plastics, Foil & Coated Paper Bags","1"
"2540","Partitions, Shelvg, Lockers, & of fice & Store Fixtures","1"
"5412","Retail-Convenience Stores","1"
"7377","Services-Computer Rental & Leasing","1"
"4100","Local & Suburban Transit & Interurban Hwy Passenger Trans","1"
"3452","Bolts, Nuts, Screws, Rivets & Washers","1"
"4220","Public Warehousing & Storage","1"
"5064","Wholesale-Electrical Appliances, Tv & Radio Sets","1"
